company_brand,sector,stage,amount,headquarter,about_company,year,founded,founders,investor,Category
TheCollegeFever,brand marketing event promotion marketing sponsorship ticketing,Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,2017,Unknown,Undisclosed,technology
Happy Cow Dairy,agriculture farming,Seed,584000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,2017,Unknown,Undisclosed,technology
MyLoanCare,credit financial services lending marketplace,Series A,949000.0,Gurgaon,Leading Online Loans Marketplace in India,2018,2017,Unknown,Undisclosed,technology
PayMe India,financial services fintech,Pre-Seed,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,2017,Unknown,Undisclosed,technology
Eunimart,ecommerce platforms retail saas,Seed,0.0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,2017,Unknown,Undisclosed,technology
Hasura,software as a service,Seed,1600000.0,Bangalore,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,2017,Unknown,Undisclosed,technology
Tripshelf,internet leisure marketplace,Seed,233600.0,Kalkaji,Tripshelf is an online market place for holiday packages.,2018,2017,Unknown,Undisclosed,technology
Hyperdata.IO,market research,Pre-Seed,730000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018,2017,Unknown,Undisclosed,technology
Freightwalla,information services information technology,Seed,0.0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,2017,Unknown,Undisclosed,technology
Microchip Payments,mobile payments,Seed,0.0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,2018,2017,Unknown,Undisclosed,technology
BizCrum Infotech Pvt. Ltd.,b2b shoes,Seed,0.0,Delhi,Building Transactionary B2B Marketplaces,2018,2017,Unknown,Undisclosed,business services
Emojifi,internet,Seed,0.0,Bangalore,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,2017,Unknown,Undisclosed,technology
Flock,apps collaboration developer platform enterprise software messaging productivity tools video chat,Seed,0.0,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,2017,Unknown,Undisclosed,technology
Freshboxx,food delivery,Seed,0.0,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,2017,Unknown,Undisclosed,food and beverages
Wide Mobility Mechatronics,industrial automation,Seed,0.0,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,2017,Unknown,Undisclosed,technology
Pitstop,automotive search engine service industry,Seed,1460000.0,Bangalore,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,2017,Unknown,Undisclosed,technology
Mihuru,finance internet travel,Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018,2017,Unknown,Undisclosed,technology
Fyle,accounting business information systems business travel finance saas,Seed,1100000.0,Bangalore,Fyle is an intelligent expense management platform for enterprises.,2018,2017,Unknown,Undisclosed,technology
AppWharf,artificial intelligence product search saas service industry software,Seed,0.0,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,2017,Unknown,Undisclosed,technology
Antariksh Waste Ventures Pvt ltd,internet of things waste management,Seed,7300.0,Chennai,Waste Management for Smart Cities,2018,2017,Unknown,Undisclosed,technology
Cogoport,air transportation freight service logistics marine transportation,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,2017,Unknown,Undisclosed,technology
PaisaDukan,financial services,Seed,650000.0,Mumbai,A P2P lending marketplace platform,2018,2017,Unknown,Undisclosed,fintech
Sleepy Owl Coffee,food and beverage,Seed,511000.0,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,2017,Unknown,Undisclosed,food and beverages
BlueJack,autonomous vehicles,Seed,934400.0,Delhi,Delhi-based online used vehicles marketplace.,2018,2017,Unknown,Undisclosed,mobility and transportation
PregBuddy,enterprise software health care hospital parenting personal health saas,Seed,0.0,Bangalore,PregBuddy is a smart connected care platform for expecting mothers.,2018,2017,Unknown,Undisclosed,technology
AgNext Technologies,agriculture analytics big data farming,Series A,0.0,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,2017,Unknown,Undisclosed,technology
Pando,logistics supply chain management,Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018,2017,Unknown,Undisclosed,technology
Mintifi,financial services lending,Seed,2000000.0,Mumbai,Online lending startup based in Mumbai.,2018,2017,Unknown,Undisclosed,fintech
Carcrew,automotive marketplace online portals,Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace,2018,2017,Unknown,Undisclosed,technology
NicheAI,artificial intelligence,Pre-Seed,0.0,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018,2017,Unknown,Undisclosed,technology
Chariot Tech,internet of things telecommunications,Seed,292000.0,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,2017,Unknown,Undisclosed,technology
Ideal Insurance Brokers/ 121Policy.com,insurance,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,2017,Unknown,Undisclosed,financial services
Loanzen,financial services,Seed,0.0,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,2017,Unknown,Undisclosed,fintech
Mojro Technologies,information technology logistics supply chain management,Seed,650000.0,Bangalore,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,2017,Unknown,Undisclosed,technology
Elemential,blockchain developer tools enterprise software,Seed,1000000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,2017,Unknown,Undisclosed,technology
Loadshare,industrial automation logistics supply chain management,Series A,5000000.0,Bangalore,LoadShare is India’s fastest growing logistics company,2018,2017,Unknown,Undisclosed,technology
Yumlane,food and beverage food delivery snack food,Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018,2017,Unknown,Undisclosed,food and beverages
Kriger Campus,education,Seed,438000.0,New Delhi,A Education Start Up.,2018,2017,Unknown,Undisclosed,education and training
Pipa+Bella,ecommerce fashion jewelry retail,Series A,1000000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,2017,Unknown,Undisclosed,technology
Kaleidofin,financial services,Seed,2800000.0,Chennai,A fintech platform.,2018,2017,Unknown,Undisclosed,fintech
Chakr Innovation,renewable energy,Seed,0.0,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,2017,Unknown,Undisclosed,renewable energy
IndigoLearn,elearning education,Seed,150000.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,2017,Unknown,Undisclosed,technology
UClean,clean energy cleantech laundry and drycleaning,Seed,584000.0,India,UClean is a tech enabled laundry service provider.,2018,2017,Unknown,Undisclosed,technology
Coutloot,ecommerce fashion mobile,Seed,1000000.0,Mumbai,The Fashion Re-commerce platform.,2018,2017,Unknown,Undisclosed,technology
Letstrack,apps messaging navigation public safety,Seed,1700000.0,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,2017,Unknown,Undisclosed,technology and innovation
Pooltoo,transportation,Seed,0.0,New Delhi,Pooltoo offers a premium ride sharing platform.,2018,2017,Unknown,Undisclosed,mobility and transportation
Finzy,financial services lending,Seed,1300000.0,Bangalore,finzy is the premier peer to peer lending solution in India.,2018,2017,Unknown,Undisclosed,fintech
Fitternity,fitness health care wellness,Seed,2000000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,2017,Unknown,Undisclosed,technology
Keito,artificial intelligence machine learning saas virtual assistant,Seed,0.0,Pune,Building an Intelligent Digital Assistant.,2018,2017,Unknown,Undisclosed,technology
Tolet for Students,hospitality,Seed,73000.0,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,2017,Unknown,Undisclosed,technology
Chai Kings,food and beverage tea,Seed,292000.0,Chennai,Chai Kings is a tea retail chain,2018,2017,Unknown,Undisclosed,food and beverages
Dainik Jagran,media and entertainment news outdoors,Seed,584000.0,Kanpur,Dainik Jagran is a media and communications group.,2018,2017,Unknown,Undisclosed,technology
Playtoome,broadcasting media and entertainment music music streaming video video streaming,Seed,292000.0,Bangalore,Playtoome is a live entertainment destination,2018,2017,Unknown,Undisclosed,technology
ONGO Framework,b2b information services information technology,Pre-Seed,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018,2017,Unknown,Undisclosed,technology
Notesgen,edtech education enterprise software peer to peer,Seed,182500.0,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,2017,Unknown,Undisclosed,technology
Arogya MedTech,health care medical,Seed,219000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,2017,Unknown,Undisclosed,technology
Propshop24,e-commerce,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,2017,Unknown,Undisclosed,e-commerce
myUpchar,health care hospital wellness,Series A,5000000.0,New Delhi,To bring health issues to people in their language.,2018,2017,Unknown,Undisclosed,technology
MissMalini Entertainment,Other,Seed,1518400.0,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,2017,Unknown,Undisclosed,Other
Rooter,sports,Seed,657000.0,India,Rooter is a mobile-based platform,2018,2017,Unknown,Undisclosed,sports technology
ZestMoney,big data consumer lending fintech,Series A,13400000.0,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018,2017,Unknown,Undisclosed,technology
alphaics Corporation,cloud computing computer semiconductor,Seed,0.0,Bangalore,Advancing AI compute,2018,2017,Unknown,Undisclosed,technology
MyDentistChoice,health care medical pharmaceutical,Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,2017,Unknown,Undisclosed,technology
Sattviko,food processing retail,Pre-Seed,0.0,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,2017,Unknown,Undisclosed,technology
Sensibull,trading platform,Seed,365000.0,Bangalore,Investment Management Platform,2018,2017,Unknown,Undisclosed,financial services
Bombay Shaving Company,consumer goods lifestyle mens,Series A,0.0,New Delhi,Bombay Shaving Company is a Men's grooming startup,2018,2017,Unknown,Undisclosed,consumer goods and services
MedCords,health & wellness,Seed,385440.0,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,2017,Unknown,Undisclosed,healthcare
University Living,education,Seed,0.0,New Delhi,University Living is an online global student housing marketplace.,2018,2017,Unknown,Undisclosed,education and training
&ME,food and beverage food processing nutrition,Seed,0.0,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,2017,Unknown,Undisclosed,technology
Enakshi,fashion,Seed,116800.0,Ahmedabad,Enakshi is an online apparel brand for women.,2018,2017,Unknown,Undisclosed,design and creative industries
